event_id,symbol,transaction_type,quantity
evt-0182,TCS,SELL,75
evt-0183,HDFCBANK,BUY,60
evt-0184,ICICIBANK,SELL,45
evt-0185,INFY,BUY,30
evt-0186,BHARTIARTL,SELL,15
evt-0187,SBIN,BUY,100
evt-0188,LT,SELL,85
evt-0189,ITC,BUY,70
evt-0190,HINDUNILVR,SELL,55
evt-0191,AXISBANK,BUY,40
evt-0192,KOTAKBANK,SELL,25
evt-0193,BAJFINANCE,BUY,10
evt-0194,MARUTI,SELL,95
evt-0195,SUNPHARMA,BUY,80
evt-0196,NTPC,SELL,65
evt-0197,TATAMOTORS,BUY,50
evt-0198,TATASTEEL,SELL,35
evt-0199,ADANIENT,BUY,20
evt-0200,ASIANPAINT,SELL,5
evt-0201,RELIANCE,BUY,90
evt-0202,TCS,SELL,75
evt-0203,HDFCBANK,BUY,60
evt-0204,ICICIBANK,SELL,45
evt-0205,INFY,BUY,30
evt-0206,BHARTIARTL,SELL,15
evt-0207,SBIN,BUY,100
evt-0208,LT,SELL,85
evt-0209,ITC,BUY,70
evt-0210,HINDUNILVR,SELL,55
evt-0211,AXISBANK,BUY,40
evt-0212,KOTAKBANK,SELL,25
evt-0213,BAJFINANCE,BUY,10
evt-0214,MARUTI,SELL,95
evt-0215,SUNPHARMA,BUY,80
evt-0216,NTPC,SELL,65
evt-0217,TATAMOTORS,BUY,50
evt-0218,TATASTEEL,SELL,35
evt-0219,ADANIENT,BUY,20
evt-0220,ASIANPAINT,SELL,5
evt-0221,RELIANCE,BUY,90
evt-0222,TCS,SELL,75
evt-0223,HDFCBANK,BUY,60
evt-0224,ICICIBANK,SELL,45
evt-0225,INFY,BUY,30
evt-0226,BHARTIARTL,SELL,15
evt-0227,SBIN,BUY,100
evt-0228,LT,SELL,85
evt-0229,ITC,BUY,70
evt-0230,HINDUNILVR,SELL,55
evt-0231,AXISBANK,BUY,40
evt-0232,KOTAKBANK,SELL,25
evt-0233,BAJFINANCE,BUY,10
evt-0234,MARUTI,SELL,95
evt-0235,SUNPHARMA,BUY,80
evt-0236,NTPC,SELL,65
evt-0237,TATAMOTORS,BUY,50
evt-0238,TATASTEEL,SELL,35
evt-0239,ADANIENT,BUY,20
evt-0240,ASIANPAINT,SELL,5
evt-0241,RELIANCE,BUY,90
evt-0242,TCS,SELL,75
evt-0243,HDFCBANK,BUY,60
evt-0244,ICICIBANK,SELL,45
evt-0245,INFY,BUY,30
evt-0246,BHARTIARTL,SELL,15
evt-0247,SBIN,BUY,100
evt-0248,LT,SELL,85
evt-0249,ITC,BUY,70
evt-0250,HINDUNILVR,SELL,55
evt-0251,AXISBANK,BUY,40
evt-0252,KOTAKBANK,SELL,25
evt-0253,BAJFINANCE,BUY,10
evt-0254,MARUTI,SELL,95
evt-0255,SUNPHARMA,BUY,80
evt-0256,NTPC,SELL,65
evt-0257,TATAMOTORS,BUY,50
evt-0258,TATASTEEL,SELL,35
evt-0259,ADANIENT,BUY,20
evt-0260,ASIANPAINT,SELL,5
evt-0261,RELIANCE,BUY,90
evt-0262,TCS,SELL,75
evt-0263,HDFCBANK,BUY,60
evt-0264,ICICIBANK,SELL,45
evt-0265,INFY,BUY,30
evt-0266,BHARTIARTL,SELL,15
evt-0267,SBIN,BUY,100
evt-0268,LT,SELL,85
evt-0269,ITC,BUY,70
evt-0270,HINDUNILVR,SELL,55
evt-0271,AXISBANK,BUY,40
evt-0272,KOTAKBANK,SELL,25
evt-0273,BAJFINANCE,BUY,10
evt-0274,MARUTI,SELL,95
evt-0275,SUNPHARMA,BUY,80
evt-0276,NTPC,SELL,65
evt-0277,TATAMOTORS,BUY,50
evt-0278,TATASTEEL,SELL,35
evt-0279,ADANIENT,BUY,20
evt-0280,ASIANPAINT,SELL,5
evt-0281,RELIANCE,BUY,90
evt-0282,TCS,SELL,75
evt-0283,HDFCBANK,BUY,60
evt-0284,ICICIBANK,SELL,45
evt-0285,INFY,BUY,30
evt-0286,BHARTIARTL,SELL,15
evt-0287,SBIN,BUY,100
evt-0288,LT,SELL,85
evt-0289,ITC,BUY,70
evt-0290,HINDUNILVR,SELL,55
evt-0291,AXISBANK,BUY,40
evt-0292,KOTAKBANK,SELL,25
evt-0293,BAJFINANCE,BUY,10
evt-0294,MARUTI,SELL,95
evt-0295,SUNPHARMA,BUY,80
evt-0296,NTPC,SELL,65
evt-0297,TATAMOTORS,BUY,50
evt-0298,TATASTEEL,SELL,35
evt-0299,ADANIENT,BUY,20
evt-0300,ASIANPAINT,SELL,5
evt-0301,RELIANCE,BUY,90
evt-0302,TCS,SELL,75
evt-0303,HDFCBANK,BUY,60
evt-0304,ICICIBANK,SELL,45
evt-0305,INFY,BUY,30
evt-0306,BHARTIARTL,SELL,15
evt-0307,SBIN,BUY,100
evt-0308,LT,SELL,85
evt-0309,ITC,BUY,70
evt-0310,HINDUNILVR,SELL,55
evt-0311,AXISBANK,BUY,40
evt-0312,KOTAKBANK,SELL,25
evt-0313,BAJFINANCE,BUY,10
evt-0314,MARUTI,SELL,95
evt-0315,SUNPHARMA,BUY,80
evt-0316,NTPC,SELL,65
evt-0317,TATAMOTORS,BUY,50
evt-0318,TATASTEEL,SELL,35
evt-0319,ADANIENT,BUY,20
evt-0320,ASIANPAINT,SELL,5
evt-0321,RELIANCE,BUY,90
evt-0322,TCS,SELL,75
evt-0323,HDFCBANK,BUY,60
evt-0324,ICICIBANK,SELL,45
evt-0325,INFY,BUY,30
evt-0326,BHARTIARTL,SELL,15
evt-0327,SBIN,BUY,100
evt-0328,LT,SELL,85
evt-0329,ITC,BUY,70
evt-0330,HINDUNILVR,SELL,55
evt-0331,AXISBANK,BUY,40
evt-0332,KOTAKBANK,SELL,25
evt-0333,BAJFINANCE,BUY,10
evt-0334,MARUTI,SELL,95
evt-0335,SUNPHARMA,BUY,80
evt-0336,NTPC,SELL,65
evt-0337,TATAMOTORS,BUY,50
evt-0338,TATASTEEL,SELL,35
evt-0339,ADANIENT,BUY,20
evt-0340,ASIANPAINT,SELL,5
evt-0341,RELIANCE,BUY,90
evt-0342,TCS,SELL,75
evt-0343,HDFCBANK,BUY,60
evt-0344,ICICIBANK,SELL,45
evt-0345,INFY,BUY,30
evt-0346,BHARTIARTL,SELL,15
evt-0347,SBIN,BUY,100
evt-0348,LT,SELL,85
evt-0349,ITC,BUY,70
evt-0350,HINDUNILVR,SELL,55
evt-0351,AXISBANK,BUY,40
evt-0352,KOTAKBANK,SELL,25
evt-0353,BAJFINANCE,BUY,10
evt-0354,MARUTI,SELL,95
evt-0355,SUNPHARMA,BUY,80
evt-0356,NTPC,SELL,65
evt-0357,TATAMOTORS,BUY,50
evt-0358,TATASTEEL,SELL,35
evt-0359,ADANIENT,BUY,20
evt-0360,ASIANPAINT,SELL,5
evt-0361,RELIANCE,BUY,90
evt-0362,TCS,SELL,75
evt-0363,HDFCBANK,BUY,60
evt-0364,ICICIBANK,SELL,45
evt-0365,INFY,BUY,30
evt-0366,BHARTIARTL,SELL,15
evt-0367,SBIN,BUY,100
evt-0368,LT,SELL,85
evt-0369,ITC,BUY,70
evt-0370,HINDUNILVR,SELL,55
evt-0371,AXISBANK,BUY,40
evt-0372,KOTAKBANK,SELL,25
evt-0373,BAJFINANCE,BUY,10
evt-0374,MARUTI,SELL,95
evt-0375,SUNPHARMA,BUY,80
evt-0376,NTPC,SELL,65
evt-0377,TATAMOTORS,BUY,50
evt-0378,TATASTEEL,SELL,35
evt-0379,ADANIENT,BUY,20
evt-0380,ASIANPAINT,SELL,5
evt-0381,RELIANCE,BUY,90
evt-0382,TCS,SELL,75
evt-0383,HDFCBANK,BUY,60
evt-0384,ICICIBANK,SELL,45
evt-0385,INFY,BUY,30
evt-0386,BHARTIARTL,SELL,15
evt-0387,SBIN,BUY,100
evt-0388,LT,SELL,85
evt-0389,ITC,BUY,70
evt-0390,HINDUNILVR,SELL,55
evt-0391,AXISBANK,BUY,40
evt-0392,KOTAKBANK,SELL,25
evt-0393,BAJFINANCE,BUY,10
evt-0394,MARUTI,SELL,95
evt-0395,SUNPHARMA,BUY,80
evt-0396,NTPC,SELL,65
evt-0397,TATAMOTORS,BUY,50
evt-0398,TATASTEEL,SELL,35
evt-0399,ADANIENT,BUY,20
evt-0400,ASIANPAINT,SELL,5
evt-0401,RELIANCE,BUY,90
evt-0402,TCS,SELL,75
evt-0403,HDFCBANK,BUY,60
evt-0404,ICICIBANK,SELL,45
evt-0405,INFY,BUY,30
evt-0406,BHARTIARTL,SELL,15
evt-0407,SBIN,BUY,100
evt-0408,LT,SELL,85
evt-0409,ITC,BUY,70
evt-0410,HINDUNILVR,SELL,55
evt-0411,AXISBANK,BUY,40
evt-0412,KOTAKBANK,SELL,25
evt-0413,BAJFINANCE,BUY,10
evt-0414,MARUTI,SELL,95
evt-0415,SUNPHARMA,BUY,80
evt-0416,NTPC,SELL,65
evt-0417,TATAMOTORS,BUY,50
evt-0418,TATASTEEL,SELL,35
evt-0419,ADANIENT,BUY,20
evt-0420,ASIANPAINT,SELL,5
evt-0421,RELIANCE,BUY,90
evt-0422,TCS,SELL,75
evt-0423,HDFCBANK,BUY,60
evt-0424,ICICIBANK,SELL,45
evt-0425,INFY,BUY,30
evt-0426,BHARTIARTL,SELL,15
evt-0427,SBIN,BUY,100
evt-0428,LT,SELL,85
evt-0429,ITC,BUY,70
evt-0430,HINDUNILVR,SELL,55
evt-0431,AXISBANK,BUY,40
evt-0432,KOTAKBANK,SELL,25
evt-0433,BAJFINANCE,BUY,10
evt-0434,MARUTI,SELL,95
evt-0435,SUNPHARMA,BUY,80
evt-0436,NTPC,SELL,65
evt-0437,TATAMOTORS,BUY,50
evt-0438,TATASTEEL,SELL,35
evt-0439,ADANIENT,BUY,20
evt-0440,ASIANPAINT,SELL,5
evt-0441,RELIANCE,BUY,90
evt-0442,TCS,SELL,75
evt-0443,HDFCBANK,BUY,60
evt-0444,ICICIBANK,SELL,45
evt-0445,INFY,BUY,30
evt-0446,BHARTIARTL,SELL,15
evt-0447,SBIN,BUY,100
evt-0448,LT,SELL,85
evt-0449,ITC,BUY,70
evt-0450,HINDUNILVR,SELL,55
evt-0451,AXISBANK,BUY,40
evt-0452,KOTAKBANK,SELL,25
evt-0453,BAJFINANCE,BUY,10
evt-0454,MARUTI,SELL,95
evt-0455,SUNPHARMA,BUY,80
evt-0456,NTPC,SELL,65
evt-0457,TATAMOTORS,BUY,50
evt-0458,TATASTEEL,SELL,35
evt-0459,ADANIENT,BUY,20
evt-0460,ASIANPAINT,SELL,5
evt-0461,RELIANCE,BUY,90
evt-0462,TCS,SELL,75
evt-0463,HDFCBANK,BUY,60
evt-0464,ICICIBANK,SELL,45
evt-0465,INFY,BUY,30
evt-0466,BHARTIARTL,SELL,15
evt-0467,SBIN,BUY,100
evt-0468,LT,SELL,85
evt-0469,ITC,BUY,70
evt-0470,HINDUNILVR,SELL,55
evt-0471,AXISBANK,BUY,40
evt-0472,KOTAKBANK,SELL,25
evt-0473,BAJFINANCE,BUY,10
evt-0474,MARUTI,SELL,95
evt-0475,SUNPHARMA,BUY,80
evt-0476,NTPC,SELL,65
evt-0477,TATAMOTORS,BUY,50
evt-0478,TATASTEEL,SELL,35
evt-0479,ADANIENT,BUY,20
evt-0480,ASIANPAINT,SELL,5
evt-0481,RELIANCE,BUY,90
evt-0482,TCS,SELL,75
evt-0483,HDFCBANK,BUY,60
evt-0484,ICICIBANK,SELL,45
evt-0485,INFY,BUY,30
evt-0486,BHARTIARTL,SELL,15
evt-0487,SBIN,BUY,100
evt-0488,LT,SELL,85
evt-0489,ITC,BUY,70
evt-0490,HINDUNILVR,SELL,55
evt-0491,AXISBANK,BUY,40
evt-0492,KOTAKBANK,SELL,25
evt-0493,BAJFINANCE,BUY,10
evt-0494,MARUTI,SELL,95
evt-0495,SUNPHARMA,BUY,80
evt-0496,NTPC,SELL,65
evt-0497,TATAMOTORS,BUY,50
evt-0498,TATASTEEL,SELL,35
evt-0499,ADANIENT,BUY,20
evt-0500,ASIANPAINT,SELL,5
evt-0501,RELIANCE,BUY,90
evt-0502,TCS,SELL,75
evt-0503,HDFCBANK,BUY,60
evt-0504,ICICIBANK,SELL,45
evt-0505,INFY,BUY,30
evt-0506,BHARTIARTL,SELL,15
evt-0507,SBIN,BUY,100
evt-0508,LT,SELL,85
evt-0509,ITC,BUY,70
evt-0510,HINDUNILVR,SELL,55
evt-0511,AXISBANK,BUY,40
evt-0512,KOTAKBANK,SELL,25
evt-0513,BAJFINANCE,BUY,10
evt-0514,MARUTI,SELL,95
evt-0515,SUNPHARMA,BUY,80
evt-0516,NTPC,SELL,65
evt-0517,TATAMOTORS,BUY,50
evt-0518,TATASTEEL,SELL,35
evt-0519,ADANIENT,BUY,20
evt-0520,ASIANPAINT,SELL,5
evt-0521,RELIANCE,BUY,90
evt-0522,TCS,SELL,75
evt-0523,HDFCBANK,BUY,60
evt-0524,ICICIBANK,SELL,45
evt-0525,INFY,BUY,30
evt-0526,BHARTIARTL,SELL,15
evt-0527,SBIN,BUY,100
evt-0528,LT,SELL,85
evt-0529,ITC,BUY,70
evt-0530,HINDUNILVR,SELL,55
evt-0531,AXISBANK,BUY,40
evt-0532,KOTAKBANK,SELL,25
evt-0533,BAJFINANCE,BUY,10
evt-0534,MARUTI,SELL,95
evt-0535,SUNPHARMA,BUY,80
evt-0536,NTPC,SELL,65
evt-0537,TATAMOTORS,BUY,50
evt-0538,TATASTEEL,SELL,35
evt-0539,ADANIENT,BUY,20
evt-0540,ASIANPAINT,SELL,5
evt-0541,RELIANCE,BUY,90
evt-0542,TCS,SELL,75
evt-0543,HDFCBANK,BUY,60
evt-0544,ICICIBANK,SELL,45
evt-0545,INFY,BUY,30
evt-0546,BHARTIARTL,SELL,15
evt-0547,SBIN,BUY,100
evt-0548,LT,SELL,85
evt-0549,ITC,BUY,70
evt-0550,HINDUNILVR,SELL,55
evt-0551,AXISBANK,BUY,40
evt-0552,KOTAKBANK,SELL,25
evt-0553,BAJFINANCE,BUY,10
evt-0554,MARUTI,SELL,95
evt-0555,SUNPHARMA,BUY,80
evt-0556,NTPC,SELL,65
evt-0557,TATAMOTORS,BUY,50
evt-0558,TATASTEEL,SELL,35
evt-0559,ADANIENT,BUY,20
evt-0560,ASIANPAINT,SELL,5
evt-0561,RELIANCE,BUY,90
evt-0562,TCS,SELL,75
evt-0563,HDFCBANK,BUY,60
evt-0564,ICICIBANK,SELL,45
evt-0565,INFY,BUY,30
evt-0566,BHARTIARTL,SELL,15
evt-0567,SBIN,BUY,100
evt-0568,LT,SELL,85
evt-0569,ITC,BUY,70
evt-0570,HINDUNILVR,SELL,55
evt-0571,AXISBANK,BUY,40
evt-0572,KOTAKBANK,SELL,25
evt-0573,BAJFINANCE,BUY,10
evt-0574,MARUTI,SELL,95
evt-0575,SUNPHARMA,BUY,80
evt-0576,NTPC,SELL,65
evt-0577,TATAMOTORS,BUY,50
evt-0578,TATASTEEL,SELL,35
evt-0579,ADANIENT,BUY,20
evt-0580,ASIANPAINT,SELL,5
evt-0581,RELIANCE,BUY,90
evt-0582,TCS,SELL,75
evt-0583,HDFCBANK,BUY,60
evt-0584,ICICIBANK,SELL,45
evt-0585,INFY,BUY,30
evt-0586,BHARTIARTL,SELL,15
evt-0587,SBIN,BUY,100
evt-0588,LT,SELL,85
evt-0589,ITC,BUY,70
evt-0590,HINDUNILVR,SELL,55
evt-0591,AXISBANK,BUY,40
evt-0592,KOTAKBANK,SELL,25
evt-0593,BAJFINANCE,BUY,10
evt-0594,MARUTI,SELL,95
evt-0595,SUNPHARMA,BUY,80
evt-0596,NTPC,SELL,65
evt-0597,TATAMOTORS,BUY,50
evt-0598,TATASTEEL,SELL,35
evt-0599,ADANIENT,BUY,20
evt-0600,ASIANPAINT,SELL,5
evt-0601,RELIANCE,BUY,90
evt-0602,TCS,SELL,75
evt-0603,HDFCBANK,BUY,60
evt-0604,ICICIBANK,SELL,45
evt-0605,INFY,BUY,30
evt-0606,BHARTIARTL,SELL,15
evt-0607,SBIN,BUY,100
evt-0608,LT,SELL,85
evt-0609,ITC,BUY,70
evt-0610,HINDUNILVR,SELL,55
evt-0611,AXISBANK,BUY,40
evt-0612,KOTAKBANK,SELL,25
evt-0613,BAJFINANCE,BUY,10
evt-0614,MARUTI,SELL,95
evt-0615,SUNPHARMA,BUY,80
evt-0616,NTPC,SELL,65
evt-0617,TATAMOTORS,BUY,50
evt-0618,TATASTEEL,SELL,35
evt-0619,ADANIENT,BUY,20
evt-0620,ASIANPAINT,SELL,5
evt-0621,RELIANCE,BUY,90
evt-0622,TCS,SELL,75
evt-0623,HDFCBANK,BUY,60
evt-0624,ICICIBANK,SELL,45
evt-0625,INFY,BUY,30
evt-0626,BHARTIARTL,SELL,15
evt-0627,SBIN,BUY,100
evt-0628,LT,SELL,85
evt-0629,ITC,BUY,70
evt-0630,HINDUNILVR,SELL,55
evt-0631,AXISBANK,BUY,40
evt-0632,KOTAKBANK,SELL,25
evt-0633,BAJFINANCE,BUY,10
evt-0634,MARUTI,SELL,95
evt-0635,SUNPHARMA,BUY,80
evt-0636,NTPC,SELL,65
evt-0637,TATAMOTORS,BUY,50
evt-0638,TATASTEEL,SELL,35
evt-0639,ADANIENT,BUY,20
evt-0640,ASIANPAINT,SELL,5
evt-0641,RELIANCE,BUY,90
evt-0642,TCS,SELL,75
evt-0643,HDFCBANK,BUY,60
evt-0644,ICICIBANK,SELL,45
evt-0645,INFY,BUY,30
evt-0646,BHARTIARTL,SELL,15
evt-0647,SBIN,BUY,100
evt-0648,LT,SELL,85
evt-0649,ITC,BUY,70
evt-0650,HINDUNILVR,SELL,55
evt-0651,AXISBANK,BUY,40
evt-0652,KOTAKBANK,SELL,25
evt-0653,BAJFINANCE,BUY,10
evt-0654,MARUTI,SELL,95
evt-0655,SUNPHARMA,BUY,80
evt-0656,NTPC,SELL,65
evt-0657,TATAMOTORS,BUY,50
evt-0658,TATASTEEL,SELL,35
evt-0659,ADANIENT,BUY,20
evt-0660,ASIANPAINT,SELL,5
evt-0661,RELIANCE,BUY,90
evt-0662,TCS,SELL,75
evt-0663,HDFCBANK,BUY,60
evt-0664,ICICIBANK,SELL,45
evt-0665,INFY,BUY,30
evt-0666,BHARTIARTL,SELL,15
evt-0667,SBIN,BUY,100
evt-0668,LT,SELL,85
evt-0669,ITC,BUY,70
evt-0670,HINDUNILVR,SELL,55
evt-0671,AXISBANK,BUY,40
evt-0672,KOTAKBANK,SELL,25
evt-0673,BAJFINANCE,BUY,10
evt-0674,MARUTI,SELL,95
evt-0675,SUNPHARMA,BUY,80
evt-0676,NTPC,SELL,65
evt-0677,TATAMOTORS,BUY,50
evt-0678,TATASTEEL,SELL,35
evt-0679,ADANIENT,BUY,20
evt-0680,ASIANPAINT,SELL,5
evt-0681,RELIANCE,BUY,90
evt-0682,TCS,SELL,75
evt-0683,HDFCBANK,BUY,60
evt-0684,ICICIBANK,SELL,45
evt-0685,INFY,BUY,30
evt-0686,BHARTIARTL,SELL,15
evt-0687,SBIN,BUY,100
evt-0688,LT,SELL,85
evt-0689,ITC,BUY,70
evt-0690,HINDUNILVR,SELL,55
evt-0691,AXISBANK,BUY,40
evt-0692,KOTAKBANK,SELL,25
evt-0693,BAJFINANCE,BUY,10
evt-0694,MARUTI,SELL,95
evt-0695,SUNPHARMA,BUY,80
evt-0696,NTPC,SELL,65
evt-0697,TATAMOTORS,BUY,50
evt-0698,TATASTEEL,SELL,35
evt-0699,ADANIENT,BUY,20
evt-0700,ASIANPAINT,SELL,5
evt-0701,RELIANCE,BUY,90
evt-0702,TCS,SELL,75
evt-0703,HDFCBANK,BUY,60
evt-0704,ICICIBANK,SELL,45
evt-0705,INFY,BUY,30
evt-0706,BHARTIARTL,SELL,15
evt-0707,SBIN,BUY,100
evt-0708,LT,SELL,85
evt-0709,ITC,BUY,70
evt-0710,HINDUNILVR,SELL,55
evt-0711,AXISBANK,BUY,40
evt-0712,KOTAKBANK,SELL,25
evt-0713,BAJFINANCE,BUY,10
evt-0714,MARUTI,SELL,95
evt-0715,SUNPHARMA,BUY,80
evt-0716,NTPC,SELL,65
evt-0717,TATAMOTORS,BUY,50
evt-0718,TATASTEEL,SELL,35
evt-0719,ADANIENT,BUY,20
evt-0720,ASIANPAINT,SELL,5
evt-0721,RELIANCE,BUY,90
evt-0722,TCS,SELL,75
evt-0723,HDFCBANK,BUY,60
evt-0724,ICICIBANK,SELL,45
evt-0725,INFY,BUY,30
evt-0726,BHARTIARTL,SELL,15
evt-0727,SBIN,BUY,100
evt-0728,LT,SELL,85
evt-0729,ITC,BUY,70
evt-0730,HINDUNILVR,SELL,55
evt-0731,AXISBANK,BUY,40
evt-0732,KOTAKBANK,SELL,25
evt-0733,BAJFINANCE,BUY,10
evt-0734,MARUTI,SELL,95
evt-0735,SUNPHARMA,BUY,80
evt-0736,NTPC,SELL,65
evt-0737,TATAMOTORS,BUY,50
